,Order Date,Year,Quarter,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
7980,03-01-2014,2014,1,07-01-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,16.448,2,0.2,5.5512
739,04-01-2014,2014,1,08-01-2014,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Labels,11.784,3,0.2,4.2717
740,04-01-2014,2014,1,08-01-2014,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Storage,272.736,3,0.2,-64.7748
741,04-01-2014,2014,1,08-01-2014,Standard Class,Home Office,Naperville,Illinois,Central,Office Supplies,Binders,3.54,2,0.8,-5.487
1759,05-01-2014,2014,1,12-01-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,19.536,3,0.2,4.884
7476,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Art,5.48,2,0,1.4796
7474,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Furniture,Chairs,2573.82,9,0,746.4078
7475,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Binders,609.98,2,0,274.491
7180,06-01-2014,2014,1,07-01-2014,First Class,Corporate,Athens,Georgia,South,Office Supplies,Art,12.78,3,0,5.2398
7477,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Technology,Phones,391.98,2,0,113.6742
7478,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Technology,Phones,755.96,4,0,204.1092
7479,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Fasteners,31.12,4,0,0.3112
7480,06-01-2014,2014,1,10-01-2014,Standard Class,Home Office,Henderson,Kentucky,South,Office Supplies,Paper,6.54,1,0,3.0084
5327,06-01-2014,2014,1,08-01-2014,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.44,3,0,9.3312
7660,07-01-2014,2014,1,12-01-2014,Standard Class,Consumer,Huntsville,Texas,Central,Furniture,Furnishings,76.728,3,0.6,-53.7096
7661,07-01-2014,2014,1,12-01-2014,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Binders,10.43,7,0.8,-18.2525
592,09-01-2014,2014,1,13-01-2014,Standard Class,Consumer,Laredo,Texas,Central,Office Supplies,Art,9.344,2,0.2,1.168
593,09-01-2014,2014,1,13-01-2014,Standard Class,Consumer,Laredo,Texas,Central,Technology,Accessories,31.2,3,0.2,9.75
866,10-01-2014,2014,1,15-01-2014,Standard Class,Corporate,Springfield,Virginia,South,Furniture,Furnishings,51.94,1,0,21.2954
865,10-01-2014,2014,1,15-01-2014,Standard Class,Corporate,Springfield,Virginia,South,Office Supplies,Labels,2.89,1,0,1.3583
716,11-01-2014,2014,1,14-01-2014,First Class,Consumer,Dover,Delaware,East,Furniture,Furnishings,9.94,2,0,3.0814
767,13-01-2014,2014,1,15-01-2014,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Storage,572.58,6,0,34.3548
766,13-01-2014,2014,1,15-01-2014,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Binders,5.64,3,0,2.7072
4939,13-01-2014,2014,1,18-01-2014,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,19.9,5,0,6.567
9629,13-01-2014,2014,1,18-01-2014,Standard Class,Consumer,Newark,Ohio,East,Office Supplies,Binders,3.438,2,0.7,-2.5212
4937,13-01-2014,2014,1,18-01-2014,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,1325.85,5,0,238.653
9628,13-01-2014,2014,1,18-01-2014,Standard Class,Consumer,Newark,Ohio,East,Office Supplies,Paper,37.408,7,0.2,13.0928
763,13-01-2014,2014,1,15-01-2014,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,11.36,2,0,5.3392
2978,13-01-2014,2014,1,16-01-2014,Second Class,Consumer,Mount Pleasant,South Carolina,South,Furniture,Chairs,545.94,6,0,87.3504
4938,13-01-2014,2014,1,18-01-2014,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,333.999,3,0.15,3.9294
764,13-01-2014,2014,1,15-01-2014,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,50.94,3,0,25.47
765,13-01-2014,2014,1,15-01-2014,Second Class,Corporate,Bossier City,Louisiana,South,Technology,Accessories,646.74,6,0,258.696
6474,14-01-2014,2014,1,15-01-2014,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Bookcases,61.96,4,0.5,-53.2856
1913,15-01-2014,2014,1,17-01-2014,First Class,Consumer,Roswell,Georgia,South,Technology,Accessories,149.95,5,0,65.978
973,16-01-2014,2014,1,18-01-2014,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,30.072,3,0.2,10.1493
970,16-01-2014,2014,1,18-01-2014,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,127.104,6,0.2,28.5984
971,16-01-2014,2014,1,18-01-2014,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,124.2,3,0.4,-31.05
972,16-01-2014,2014,1,18-01-2014,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,18.588,2,0.7,-13.6312
5364,18-01-2014,2014,1,21-01-2014,Second Class,Corporate,Springfield,Oregon,West,Office Supplies,Appliances,64.864,4,0.2,6.4864
5462,19-01-2014,2014,1,20-01-2014,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Binders,32.34,10,0.7,-23.716
5463,19-01-2014,2014,1,20-01-2014,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Paper,56.064,4,0.2,19.6224
5464,19-01-2014,2014,1,20-01-2014,First Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Envelopes,108.72,5,0.2,36.693
5465,19-01-2014,2014,1,20-01-2014,First Class,Consumer,Scottsdale,Arizona,West,Furniture,Bookcases,181.47,5,0.7,-320.597
6332,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Furniture,Furnishings,14.73,3,0,4.8609
6333,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Binders,29.7,5,0,13.365
5736,20-01-2014,2014,1,25-01-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.36,2,0,9.2928
7120,20-01-2014,2014,1,26-01-2014,Standard Class,Corporate,Smyrna,Tennessee,South,Office Supplies,Binders,67.194,1,0.7,-51.5154
6331,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Art,43.92,3,0,12.7368
1123,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Furniture,Furnishings,38.6,4,0,11.58
1124,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,6.63,3,0,1.7901
6330,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,66.58,2,0,15.9792
1126,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Furniture,Chairs,1067.94,3,0,224.2674
6328,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Binders,19.05,5,0,8.9535
6327,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Furniture,Furnishings,272.94,3,0,30.0234
6326,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,13.98,1,0,4.0542
1125,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Envelopes,23.34,3,0,10.9698
1122,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,22.96,7,0,6.6584
5737,20-01-2014,2014,1,25-01-2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,19.3,2,0,5.79
